id,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
157,Tata Tiago 1.2 Revotron XZ,2016,350000,15000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
158,Hyundai EON Era Plus,2013,190000,70000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
159,Toyota Etios Liva GD,2015,450000,80000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5.0
160,Maruti Alto LXi,2010,160000,60000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
161,Hyundai i20 1.4 CRDi Asta,2012,330000,90000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0
162,Maruti Swift VDI,2011,400000,72000,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
163,Volkswagen Multivan TDI,2011,2150000,50000,Diesel,Individual,Manual,Second Owner,,,,,
164,Maruti Alto LX,2000,108000,206000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
165,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
166,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2015,800000,15000,Diesel,Individual,Manual,First Owner,23.65 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
167,Maruti Ertiga SHVS ZDI Plus,2017,750000,50000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0
168,Chevrolet Sail 1.2 LT ABS,2014,330000,23000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1199 CC,82.4 bhp,108.5Nm@ 5000rpm,5.0
169,Maruti Ritz VXI,2010,320000,60000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5.0
170,Maruti Swift VDI,2013,355000,170000,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
171,Mahindra Scorpio 1.99 S10,2015,950000,120000,Diesel,Individual,Manual,Third Owner,15.4 kmpl,1997 CC,120 bhp,280Nm@ 1800-2800rpm,7.0
172,Hyundai Xcent 1.1 CRDi Base,2015,320000,90000,Diesel,Individual,Manual,Second Owner,24.4 kmpl,1120 CC,71 bhp,180.4Nm@ 1750-2500rpm,5.0
173,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
174,Maruti Swift Dzire Vdi BSIV,2017,650000,82050,Diesel,Individual,Manual,First Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
175,Maruti Alto 800 VXI,2017,295000,80000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
176,Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5.0
177,Hyundai i10 Sportz,2010,200000,70000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0
178,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2017,455000,34152,Petrol,Dealer,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0
179,Hyundai i20 Sportz 1.4 CRDi,2013,360000,210000,Diesel,Individual,Manual,Third Owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1750-2750rpm,5.0
180,Ford Figo Diesel Celebration Edition,2013,229999,70000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5.0
181,Hyundai Creta 1.4 CRDi S Plus,2016,950000,133000,Diesel,Individual,Manual,First Owner,21.38 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm,5.0
182,Mahindra Scorpio 2.6 DX,2006,350000,90000,Diesel,Individual,Manual,First Owner,12.7 kmpl,2609 CC,116.6 bhp,"28.3@ 1,700-2,200(kgm@ rpm)",8.0
183,Skoda Octavia Ambition 2.0 TDI MT,2015,900000,168000,Diesel,Individual,Manual,First Owner,20.6 kmpl,1968 CC,141 bhp,320Nm@ 1750-3000rpm,5.0
184,Maruti Alto LXI,2004,70000,70000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
185,Maruti Swift Dzire VDI,2013,525000,110000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
186,Ford EcoSport 1.5 Diesel Titanium BSIV,2018,990000,60000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5.0
187,Hyundai i10 Magna 1.2 iTech SE,2012,270000,30000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
188,Maruti Swift Dzire LDI,2013,430000,190000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
189,Hyundai i10 Sportz 1.1L,2011,200000,80000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
190,Hyundai Santro Xing XG AT eRLX Euro II,2006,95000,100000,Petrol,Individual,Automatic,Second Owner,,,,,
191,Maruti Zen Estilo 1.1 VXI BSIII,2007,150000,70000,Petrol,Individual,Manual,Third Owner,18.2 kmpl,1061 CC,64 bhp,84Nm@ 3500rpm,5.0
192,Renault KWID 1.0 RXT Optional,2017,265000,90000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0
193,Mahindra Scorpio LX,2012,450000,120000,Diesel,Individual,Manual,Second Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,9.0
194,Mahindra Bolero 2011-2019 SLX,2013,330000,125000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
195,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2018,950000,75000,Diesel,Individual,Automatic,First Owner,21.5 kmpl,1498 CC,108.5 bhp,250Nm@ 1500-3000rpm,5.0
196,Maruti Ciaz VDi Plus SHVS,2015,550000,50000,Diesel,Dealer,Manual,Second Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
197,Datsun GO Plus A,2015,350000,60000,Petrol,Individual,Manual,First Owner,20.62 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,7.0
198,Maruti Swift VDI,2012,300000,110000,Diesel,Individual,Manual,Third Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
199,Mahindra XUV500 W8 2WD,2013,750000,80000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
200,Chevrolet Cruze LTZ AT,2015,450000,155000,Diesel,Individual,Automatic,First Owner,14.81 kmpl,1998 CC,163.7 bhp,360Nm@ 2000rpm,5.0
201,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
202,Maruti Swift LXi BSIV,2018,490000,28000,Petrol,Dealer,Manual,First Owner,16.1 kmpl,1197 CC,85 bhp,"113Nm@ 4,500rpm",5.0
203,Hyundai EON Sportz,2011,180000,35000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
204,Maruti Zen LXI,2004,70000,150000,Petrol,Individual,Manual,First Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0
205,Hyundai Creta 1.6 CRDi SX,2015,850000,108000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
206,Datsun GO Plus D1,2015,300000,15000,Petrol,Individual,Manual,First Owner,20.62 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,7.0
207,Maruti Swift VDI BSIV,2008,250000,90000,Diesel,Individual,Manual,Third Owner,,,,,
208,Maruti Swift VXI,2013,325000,150000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0
209,Ford Ikon 1.3 Flair,2005,120000,90000,Petrol,Individual,Manual,Second Owner,13.8 kmpl,1299 CC,70 bhp,"10.7@ 2,500(kgm@ rpm)",5.0
210,Honda Amaze S CVT Petrol BSIV,2019,680000,15000,Petrol,Individual,Automatic,First Owner,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5.0
211,Hyundai Verna 1.6 CRDi S Option,2016,850000,120000,Diesel,Individual,Manual,First Owner,23.9 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
212,Maruti Swift Dzire Tour S CNG,2018,600000,40000,Petrol,Individual,Manual,First Owner,19.0 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0
213,Mahindra TUV 300 T4 Plus,2018,775000,59736,Diesel,Dealer,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0
214,Tata Manza Aura (ABS) Quadrajet BS IV,2010,210000,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0
215,Renault KWID RXT Optional,2019,350000,15000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0
216,Renault Duster 110PS Diesel RxZ,2015,600000,160000,Diesel,Individual,Manual,First Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0
217,Tata Tigor 1.05 Revotorq XM,2018,500000,50000,Diesel,Individual,Manual,First Owner,24.7 kmpl,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
218,Renault Pulse RxL Optional,2013,290000,90000,Diesel,Individual,Manual,First Owner,23.08 kmpl,1461 CC,63.12 bhp,160Nm@ 2000rpm,5.0
219,Ford EcoSport 1.5 TDCi Signature BSIV,2018,950000,27000,Diesel,Dealer,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0
220,Maruti Swift Dzire VDI,2016,600000,147000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
221,Mahindra Xylo H9,2015,575000,110000,Diesel,Individual,Manual,Second Owner,14.02 kmpl,2179 CC,118.3 bhp,280Nm@ 2400-2800rpm,8.0
222,Maruti Ertiga SHVS ZDI Plus,2017,800000,70000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0
223,Maruti Swift ZXI ABS,2007,215000,100750,Petrol,Individual,Manual,Second Owner,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5.0
224,Maruti Alto LXi,2007,110000,120000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
225,Maruti Swift VDI BSIV,2016,580000,100000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
226,Hyundai Creta 1.6 CRDi AT SX Plus,2017,1000000,60000,Diesel,Individual,Automatic,Second Owner,17.01 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
227,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
228,Tata Indigo CS eLS BS IV,2012,220000,90000,Diesel,Individual,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
229,Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0
230,Maruti Swift Dzire ZDI Plus,2017,900000,50000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0
231,Hyundai Santro Xing XO eRLX Euro II,2006,150000,9558,Petrol,Individual,Manual,First Owner,,,,,
232,Hyundai i20 Asta 1.4 CRDi,2015,550000,40000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
233,Maruti Zen Estilo 1.1 LX BSIII,2007,70000,80000,Petrol,Individual,Manual,Second Owner,18.2 kmpl,1061 CC,64 bhp,84Nm@ 3500rpm,5.0
234,Hyundai Creta 1.6 VTVT E Plus,2017,875000,42000,Petrol,Individual,Manual,First Owner,15.29 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0
235,Nissan Micra XL,2011,200000,43500,Petrol,Individual,Manual,Second Owner,18.06 kmpl,1198 CC,75 bhp,104Nm@ 4000rpm,5.0
236,Mahindra Scorpio 1.99 S10 4WD,2008,450000,78000,Diesel,Dealer,Manual,First Owner,15.4 kmpl,1997 CC,120 bhp,280Nm@ 1800-2800rpm,7.0
237,Toyota Corolla AE,2004,135000,90000,Petrol,Individual,Manual,Second Owner,13.4 kmpl,1794 CC,125 bhp,"16.1@ 4,200(kgm@ rpm)",5.0
238,Maruti Estilo LXI,2008,160000,56000,Petrol,Individual,Manual,Third Owner,,,,,
239,Mahindra Xylo D2 BS IV,2010,465000,77088,Diesel,Individual,Manual,First Owner,14.0 kmpl,2489 CC,95 bhp,220Nm at 1400-2600 rpm,8.0
240,Maruti Esteem LX - BSIII,2006,135000,70000,Petrol,Individual,Manual,Second Owner,15.9 kmpl,1298 CC,85 bhp,110Nm@ 4500rpm,5.0
241,Maruti Alto 800 LX,2013,160000,70000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
242,Mahindra Bolero 2011-2019 DI - AC BS III,2016,550000,70000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0
243,Ford Fiesta EXi 1.4 TDCi Ltd,2011,170000,80000,Diesel,Individual,Manual,Third Owner,17.8 kmpl,1399 CC,68 bhp,"16.3@ 2,000(kgm@ rpm)",5.0
244,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
245,Tata Indigo CS LS DiCOR,2010,150000,70000,Diesel,Individual,Manual,Third Owner,15.7 kmpl,1405 CC,70 bhp,"14.3@ 1,800-3,000(kgm@ rpm)",5.0
246,Maruti Celerio ZXI AT,2016,350000,17000,Petrol,Individual,Automatic,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
247,Tata Indica Vista TDI LX,2012,140000,185000,Diesel,Individual,Manual,Second Owner,19.4 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5.0
248,Volkswagen Jetta 2.0L TDI Comfortline,2012,420000,110000,Diesel,Individual,Manual,Third Owner,19.33 kmpl,1968 CC,138.1 bhp,320Nm@ 1750-2500rpm,5.0
249,Chevrolet Cruze LTZ,2010,250000,135000,Diesel,Individual,Manual,Third Owner,18.3 kmpl,1991 CC,147.9 bhp,327Nm@ 2600rpm,5.0
250,Mahindra KUV 100 mFALCON D75 K6 Plus,2016,375000,80000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6.0
251,Volkswagen Polo 2015-2019 1.0 MPI Trendline,2018,560000,14495,Petrol,Dealer,Manual,First Owner,18.78 kmpl,999 CC,75 bhp,95Nm@ 3000-4300rpm,5.0
252,Mahindra KUV 100 mFALCON D75 K8,2016,357000,120000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6.0
253,Tata Indigo CS eLS BS IV,2012,220000,90000,Diesel,Individual,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
254,Maruti Ciaz 1.3 Zeta,2018,889000,20000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
255,Maruti Ertiga VDI,2015,549000,90000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0
256,Hyundai i20 Active 1.2 SX with AVN,2016,530000,120000,Petrol,Individual,Manual,Second Owner,17.19 kmpl,1197 CC,81.86 bhp,114.73Nm@ 4000rpm,5.0
257,Maruti Swift Dzire VXI,2012,310000,100000,Petrol,Individual,Manual,First Owner,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0
258,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
259,Maruti Omni LPG STD BSIV,1999,70000,100000,LPG,Individual,Manual,Fourth & Above Owner,,,,,
260,Renault Lodgy 85PS RxE,2015,600000,125000,Diesel,Individual,Manual,First Owner,21.04 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,8.0
261,Mahindra KUV 100 D75 K8,2018,700000,30000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6.0
262,Maruti Swift Dzire VDi,2011,300000,125000,Diesel,Individual,Manual,First Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
263,Maruti Wagon R LX Minor,2009,160000,80000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
264,Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5.0
265,Maruti Alto LX,2004,60000,113000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
266,Chevrolet Beat Diesel,2013,125000,139000,Diesel,Individual,Manual,First Owner,25.44 kmpl,936 CC,57.6 bhp,150Nm@ 1750rpm,5.0
267,Hyundai Santro LS zipPlus,2002,35000,75000,Petrol,Individual,Manual,Second Owner,,,,,
268,Renault Duster 110PS Diesel RxZ,2017,880000,50000,Diesel,Individual,Manual,First Owner,19.6 kmpl,1461 CC,108.45 bhp,245Nm@ 1750rpm,5.0
269,Mahindra Bolero 2011-2019 SLX,2012,500000,76000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
270,Hyundai EON Era Plus,2015,235000,50000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
271,Mahindra Bolero B4,2015,445000,40200,Diesel,Dealer,Manual,First Owner,21.0 kmpl,1498 CC,74.96 bhp,210nm@ 1600-2200rpm,7.0
272,Maruti Alto 800 LXI,2015,220000,40000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
273,Maruti Celerio VXI AT,2017,450000,10000,Petrol,Individual,Automatic,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
274,Maruti Ertiga SHVS ZDI Plus,2017,795000,120000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0
275,Honda Civic 1.8 S AT,2007,175000,218463,Petrol,Individual,Automatic,First Owner,12.9 kmpl,1799 CC,130 bhp,172Nm@ 4300rpm,5.0
276,Tata Zest Quadrajet 1.3 XM,2016,360000,110000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1248 CC,88.7 bhp,200Nm@ 1750-3000rpm,5.0
277,Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0
278,Tata New Safari Dicor GX 4X2 BS IV,2008,200000,110000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
279,Toyota Fortuner 3.0 Diesel,2012,1680000,129627,Diesel,Dealer,Manual,First Owner,11.5 kmpl,2982 CC,171 bhp,343Nm@ 1400-3400rpm,7.0
280,Honda City VX CVT,2019,1300000,20000,Petrol,Individual,Automatic,First Owner,17.4 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5.0
281,Hyundai i10 Asta Sunroof AT,2008,220000,120000,Petrol,Individual,Automatic,Second Owner,19.2 kmpl,1197 CC,80 bhp,"11.4@ 4,000(kgm@ rpm)",5.0
282,Mahindra XUV300 W8 Option BSIV,2019,1132000,20000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1197 CC,110 bhp,200Nm@ 2000-3500rpm,5.0
283,Honda City i-DTEC VX,2017,1250000,33000,Diesel,Individual,Manual,First Owner,25.6 kmpl,1498 CC,97.9 bhp,200Nm@ 1750rpm,5.0
284,Tata Indica Vista Aqua 1.4 TDI,2010,200000,110000,Diesel,Individual,Manual,First Owner,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm ,5.0
285,Hyundai EON Era Plus,2014,200000,60000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
286,Datsun GO T Option,2020,450000,10000,Petrol,Individual,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5.0
287,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
288,Maruti Swift AMT ZXI,2019,650000,33000,Petrol,Individual,Automatic,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
289,Toyota Innova Crysta 2.4 VX MT 8S BSIV,2016,1689999,120000,Diesel,Individual,Manual,First Owner,13.68 kmpl,2393 CC,147.8 bhp,343Nm@ 1400-2800rpm,8.0
290,Hyundai i20 Asta 1.4 CRDi,2013,380000,110000,Diesel,Individual,Manual,Second Owner,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5.0
291,Mahindra Scorpio S11 4WD BSIV,2020,1500000,50000,Diesel,Individual,Manual,First Owner,16.36 kmpl,2179 CC,140 bhp,320Nm@ 1500-2800rpm,7.0
292,Mahindra Bolero SLE BSIII,2011,400000,70000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0
293,Hyundai i20 1.2 Asta,2019,721000,9400,Petrol,Dealer,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
294,Maruti Alto 800 LXI,2013,210000,50000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
295,Hyundai Grand i10 Magna AT,2019,625000,4337,Petrol,Dealer,Automatic,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
296,Mahindra Bolero 2011-2019 DI - AC BS III,2016,600000,60000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0
297,Renault Pulse RxZ,2012,300000,100000,Diesel,Individual,Manual,Third Owner,23.08 kmpl,1461 CC,63.12 bhp,160Nm@ 2000rpm,5.0
298,Ford Freestyle Trend Diesel BSIV,2018,675000,60000,Diesel,Individual,Manual,First Owner,24.4 kmpl,1498 CC,98.63 bhp,215Nm@ 1750-3000rpm,5.0
299,Maruti Swift Dzire ZDI,2013,375000,80000,Diesel,Individual,Manual,Fourth & Above Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
300,Hyundai Creta 1.6 CRDi Anniversary Edition,2016,819999,39000,Diesel,Dealer,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
301,Hyundai i20 Asta Option 1.4 CRDi,2015,650000,100000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
302,Hyundai EON Sportz,2017,300000,10000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
303,Hyundai i10 Sportz Option,2011,220000,70000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0
304,Maruti Omni LPG STD BSIV,2008,110000,58632,LPG,Dealer,Manual,Second Owner,,,,,
305,Hyundai Getz 1.5 CRDi GVS,2008,175000,61000,Diesel,Dealer,Manual,Second Owner,17.1 kmpl,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5.0
306,Skoda Fabia 1.2L Diesel Elegance,2011,300000,265000,Diesel,Individual,Manual,Second Owner,20.86 kmpl,1199 CC,75 bhp,180Nm@ 2000rpm,5.0
307,Maruti Swift Dzire VDI,2016,561000,30000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
308,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0
309,Mahindra Bolero 2011-2019 mHAWK D70 ZLX,2018,750000,70000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7.0
310,Maruti Swift ZXI 2018,2018,750000,15000,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
311,Mahindra XUV500 W6 2WD,2013,750000,110000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
312,Chevrolet Beat LS,2013,170000,70000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm,5.0
313,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
314,Maruti 800 AC,1996,42000,70000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
315,Honda BRV i-VTEC V CVT,2017,950000,15000,Petrol,Individual,Automatic,First Owner,15.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,7.0
316,Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0
